pot_name,A,X,chrg_A,chrg_X,AA_A,AA_rho,AA_C,AX_A,AX_rho,AX_C,XX_A,XX_rho,XX_C
Catlow77,Li,F,0.981,-0.981,1153.8,0.1364,0,485.6,0.2614,12.71,1127.7,0.2753,0
,,,,0,,,0,,,,,,0
LiCl_Catlow_77,,,0.995,-0.995,1153.8,0.1364,0,1380.6,0.2786,0.34,1227.2,0.3214,0
,,,,0,,,0,,,,,,0
LiBr_Catlow_77,,,0.992,-0.992,1153.8,0.1364,0,1162.8,0.2882,0.01,2948.2,0.3164,0
,,,,0,,,0,,,,,,0
LiI_Catlow_77,,,0.979,-0.979,1153.8,0.1364,0,8894.7,0.2617,0,5502.5,0.3066,0
,,,,0,,,0,,,,,,0
NaF_Catlow_77,,,0.981,-0.981,7895.4,0.1709,0,1594.2,0.2555,11.68,1127.7,0.2753,0
,,,,0,,,0,,,,,,0
NaCl_Catlow_77,,,0.988,-0.988,7895.4,0.1709,0,2314.7,0.2903,29.06,1227.2,0.3214,0
,,,,0,,,0,,,,,,0
NaBr_Catlow_77,,,0.988,-0.988,7895.4,0.1709,0,2593.1,0.3014,42.08,2948.2,0.3164,0
,,,,0,,,0,,,,,,0
NaI_Catlow_77,,,0.988,-0.988,7895.4,0.1709,0,3705.5,0.3099,27.38,5502.5,0.3066,0
,,,,0,,,0,,,,,,0
KF_Catlow_77,,,0.969,-0.969,3796.9,0.2603,0,2426.8,0.277,44.6,1127.7,0.2753,0
,,,,0,,,0,,,,,,0
KCl_Catlow_77,,,0.994,-0.994,3796.9,0.2603,0,4117.9,0.3048,124.9,1227.2,0.3214,0
,,,,0,,,0,,,,,,0
KBr_Catlow_77,,,0.988,-0.988,3796.9,0.2603,0,2944,0.3295,183.8,2948.2,0.3164,0
,,,,0,,,0,,,,,,0
KI__Catlow_77,,,0.994,-0.994,3796.9,0.2603,0,5842.4,0.3264,285.9,5502.5,0.3066,0
,,,,0,,,0,,,,,,0
RbF_Catlow_77,,,0.96,-0.96,6808.1,0.2704,0,2209.3,0.2945,69.83,1127.7,0.2753,0
,,,,0,,,0,,,,,,0
RbCl_Catlow_77,,,0.991,-0.991,6808.1,0.2704,0,3559.9,0.3233,201.2,1227.2,0.3214,0
,,,,0,,,0,,,,,,0
RbBr__Catlow_77,,,0.988,-0.988,6808.1,0.2704,0,4169.9,0.3321,261.4,2948.2,0.3164,0
,,,,0,,,0,,,,,,0
RbI_Catlow_77,,,0.999,-0.999,6808.1,0.2704,0,5282,0.3431,400.6,5502.5,0.3066,0
